"origin_date","horizon","location","target","output_type","output_type_id","value"
"2022-11-28",1,"20","inc covid hosp","quantile",0.01,0
"2022-11-28",1,"20","inc covid hosp","quantile",0.025,0
"2022-11-28",1,"20","inc covid hosp","quantile",0.05,0
"2022-11-28",1,"20","inc covid hosp","quantile",0.1,0
"2022-11-28",1,"20","inc covid hosp","quantile",0.15,7
"2022-11-28",1,"20","inc covid hosp","quantile",0.2,13
"2022-11-28",1,"20","inc covid hosp","quantile",0.25,17.4631221312212
"2022-11-28",1,"20","inc covid hosp","quantile",0.3,22
"2022-11-28",1,"20","inc covid hosp","quantile",0.35,25.8870053700536
"2022-11-28",1,"20","inc covid hosp","quantile",0.4,29
"2022-11-28",1,"20","inc covid hosp","quantile",0.45,33
"2022-11-28",1,"20","inc covid hosp","quantile",0.5,36
"2022-11-28",1,"20","inc covid hosp","quantile",0.55,39.2174886748867
"2022-11-28",1,"20","inc covid hosp","quantile",0.6,43
"2022-11-28",1,"20","inc covid hosp","quantile",0.65,46.25010500105
"2022-11-28",1,"20","inc covid hosp","quantile",0.7,50
"2022-11-28",1,"20","inc covid hosp","quantile",0.75,54.5654156541565
"2022-11-28",1,"20","inc covid hosp","quantile",0.8,59
"2022-11-28",1,"20","inc covid hosp","quantile",0.85,65
"2022-11-28",1,"20","inc covid hosp","quantile",0.9,72
"2022-11-28",1,"20","inc covid hosp","quantile",0.95,83.3346293462933
"2022-11-28",1,"20","inc covid hosp","quantile",0.975,94
"2022-11-28",1,"20","inc covid hosp","quantile",0.99,106.496977169772
"2022-11-28",2,"20","inc covid hosp","quantile",0.01,0
"2022-11-28",2,"20","inc covid hosp","quantile",0.025,0
"2022-11-28",2,"20","inc covid hosp","quantile",0.05,0
"2022-11-28",2,"20","inc covid hosp","quantile",0.1,0
"2022-11-28",2,"20","inc covid hosp","quantile",0.15,3.85929859298593
"2022-11-28",2,"20","inc covid hosp","quantile",0.2,10
"2022-11-28",2,"20","inc covid hosp","quantile",0.25,15
"2022-11-28",2,"20","inc covid hosp","quantile",0.3,20
"2022-11-28",2,"20","inc covid hosp","quantile",0.35,24
"2022-11-28",2,"20","inc covid hosp","quantile",0.4,28
"2022-11-28",2,"20","inc covid hosp","quantile",0.45,32
"2022-11-28",2,"20","inc covid hosp","quantile",0.5,36
"2022-11-28",2,"20","inc covid hosp","quantile",0.55,40
"2022-11-28",2,"20","inc covid hosp","quantile",0.6,44
"2022-11-28",2,"20","inc covid hosp","quantile",0.65,48
"2022-11-28",2,"20","inc covid hosp","quantile",0.7,52
"2022-11-28",2,"20","inc covid hosp","quantile",0.75,57
"2022-11-28",2,"20","inc covid hosp","quantile",0.8,62
"2022-11-28",2,"20","inc covid hosp","quantile",0.85,68.1326868268683
"2022-11-28",2,"20","inc covid hosp","quantile",0.9,76.3681696816972
"2022-11-28",2,"20","inc covid hosp","quantile",0.95,89
"2022-11-28",2,"20","inc covid hosp","quantile",0.975,100.407328323283
"2022-11-28",2,"20","inc covid hosp","quantile",0.99,114
"2022-11-28",3,"20","inc covid hosp","quantile",0.01,0
"2022-11-28",3,"20","inc covid hosp","quantile",0.025,0
"2022-11-28",3,"20","inc covid hosp","quantile",0.05,0
"2022-11-28",3,"20","inc covid hosp","quantile",0.1,0
"2022-11-28",3,"20","inc covid hosp","quantile",0.15,0
"2022-11-28",3,"20","inc covid hosp","quantile",0.2,7
"2022-11-28",3,"20","inc covid hosp","quantile",0.25,13
"2022-11-28",3,"20","inc covid hosp","quantile",0.3,18
"2022-11-28",3,"20","inc covid hosp","quantile",0.35,23
"2022-11-28",3,"20","inc covid hosp","quantile",0.4,27.310161101611
"2022-11-28",3,"20","inc covid hosp","quantile",0.45,32
"2022-11-28",3,"20","inc covid hosp","quantile",0.5,36
"2022-11-28",3,"20","inc covid hosp","quantile",0.55,40
"2022-11-28",3,"20","inc covid hosp","quantile",0.6,44.6481144811449
"2022-11-28",3,"20","inc covid hosp","quantile",0.65,49
"2022-11-28",3,"20","inc covid hosp","quantile",0.7,54
"2022-11-28",3,"20","inc covid hosp","quantile",0.75,59
"2022-11-28",3,"20","inc covid hosp","quantile",0.8,65
"2022-11-28",3,"20","inc covid hosp","quantile",0.85,72
"2022-11-28",3,"20","inc covid hosp","quantile",0.9,80.4386973869737
"2022-11-28",3,"20","inc covid hosp","quantile",0.95,94
"2022-11-28",3,"20","inc covid hosp","quantile",0.975,106.483795337953
"2022-11-28",3,"20","inc covid hosp","quantile",0.99,120.80349323493
"2022-11-28",4,"20","inc covid hosp","quantile",0.01,0
"2022-11-28",4,"20","inc covid hosp","quantile",0.025,0
"2022-11-28",4,"20","inc covid hosp","quantile",0.05,0
"2022-11-28",4,"20","inc covid hosp","quantile",0.1,0
"2022-11-28",4,"20","inc covid hosp","quantile",0.15,0
"2022-11-28",4,"20","inc covid hosp","quantile",0.2,4.36256562565627
"2022-11-28",4,"20","inc covid hosp","quantile",0.25,11
"2022-11-28",4,"20","inc covid hosp","quantile",0.3,16.6449074490744
"2022-11-28",4,"20","inc covid hosp","quantile",0.35,22
"2022-11-28",4,"20","inc covid hosp","quantile",0.4,27
"2022-11-28",4,"20","inc covid hosp","quantile",0.45,31.4777652776528
"2022-11-28",4,"20","inc covid hosp","quantile",0.5,36
"2022-11-28",4,"20","inc covid hosp","quantile",0.55,41
"2022-11-28",4,"20","inc covid hosp","quantile",0.6,45.1479974799748
"2022-11-28",4,"20","inc covid hosp","quantile",0.65,50
"2022-11-28",4,"20","inc covid hosp","quantile",0.7,55.1126091260913
"2022-11-28",4,"20","inc covid hosp","quantile",0.75,61
"2022-11-28",4,"20","inc covid hosp","quantile",0.8,67.1220532205322
"2022-11-28",4,"20","inc covid hosp","quantile",0.85,75
"2022-11-28",4,"20","inc covid hosp","quantile",0.9,84.1645216452166
"2022-11-28",4,"20","inc covid hosp","quantile",0.95,99
"2022-11-28",4,"20","inc covid hosp","quantile",0.975,111.394344943449
"2022-11-28",4,"20","inc covid hosp","quantile",0.99,127.688071280713
"2022-11-28",5,"20","inc covid hosp","quantile",0.01,0
"2022-11-28",5,"20","inc covid hosp","quantile",0.025,0
"2022-11-28",5,"20","inc covid hosp","quantile",0.05,0
"2022-11-28",5,"20","inc covid hosp","quantile",0.1,0
"2022-11-28",5,"20","inc covid hosp","quantile",0.15,0
"2022-11-28",5,"20","inc covid hosp","quantile",0.2,2.68459484594848
"2022-11-28",5,"20","inc covid hosp","quantile",0.25,9
"2022-11-28",5,"20","inc covid hosp","quantile",0.3,15
"2022-11-28",5,"20","inc covid hosp","quantile",0.35,21
"2022-11-28",5,"20","inc covid hosp","quantile",0.4,26
"2022-11-28",5,"20","inc covid hosp","quantile",0.45,31
"2022-11-28",5,"20","inc covid hosp","quantile",0.5,36
"2022-11-28",5,"20","inc covid hosp","quantile",0.55,41
"2022-11-28",5,"20","inc covid hosp","quantile",0.6,46
"2022-11-28",5,"20","inc covid hosp","quantile",0.65,51
"2022-11-28",5,"20","inc covid hosp","quantile",0.7,57
"2022-11-28",5,"20","inc covid hosp","quantile",0.75,63
