"origin_date","horizon","location","target","output_type","output_type_id","value"
"2022-12-12",1,"20","inc covid hosp","quantile",0.01,34.8828800747209
"2022-12-12",1,"20","inc covid hosp","quantile",0.025,38.4007526124799
"2022-12-12",1,"20","inc covid hosp","quantile",0.05,41.2606760932188
"2022-12-12",1,"20","inc covid hosp","quantile",0.1,44.4836656366265
"2022-12-12",1,"20","inc covid hosp","quantile",0.15,46.7177786643178
"2022-12-12",1,"20","inc covid hosp","quantile",0.2,48.6938372478747
"2022-12-12",1,"20","inc covid hosp","quantile",0.25,50.2504697113666
"2022-12-12",1,"20","inc covid hosp","quantile",0.3,51.7339198428135
"2022-12-12",1,"20","inc covid hosp","quantile",0.35,53.0954807744932
"2022-12-12",1,"20","inc covid hosp","quantile",0.4,54.4429992168498
"2022-12-12",1,"20","inc covid hosp","quantile",0.45,55.9429479882633
"2022-12-12",1,"20","inc covid hosp","quantile",0.5,57.4424680251199
"2022-12-12",1,"20","inc covid hosp","quantile",0.55,58.9766843046086
"2022-12-12",1,"20","inc covid hosp","quantile",0.6,60.3574224687643
"2022-12-12",1,"20","inc covid hosp","quantile",0.65,61.9387497127981
"2022-12-12",1,"20","inc covid hosp","quantile",0.7,63.7187347342634
"2022-12-12",1,"20","inc covid hosp","quantile",0.75,65.3029644886726
"2022-12-12",1,"20","inc covid hosp","quantile",0.8,67.4390067004971
"2022-12-12",1,"20","inc covid hosp","quantile",0.85,70.0592854062221
"2022-12-12",1,"20","inc covid hosp","quantile",0.9,73.3821230430133
"2022-12-12",1,"20","inc covid hosp","quantile",0.95,79.6046678709201
"2022-12-12",1,"20","inc covid hosp","quantile",0.975,84.3790974838474
"2022-12-12",1,"20","inc covid hosp","quantile",0.99,88.9435754891127
"2022-12-12",10,"20","inc covid hosp","quantile",0.01,23.3885194916801
"2022-12-12",10,"20","inc covid hosp","quantile",0.025,26.0860207709302
"2022-12-12",10,"20","inc covid hosp","quantile",0.05,29.2144088579225
"2022-12-12",10,"20","inc covid hosp","quantile",0.1,33.1901269594232
"2022-12-12",10,"20","inc covid hosp","quantile",0.15,35.8393483733786
"2022-12-12",10,"20","inc covid hosp","quantile",0.2,37.943137469686
"2022-12-12",10,"20","inc covid hosp","quantile",0.25,40.2093748536098
"2022-12-12",10,"20","inc covid hosp","quantile",0.3,42.0686702113765
"2022-12-12",10,"20","inc covid hosp","quantile",0.35,44.1788443095687
"2022-12-12",10,"20","inc covid hosp","quantile",0.4,46.2393963332822
"2022-12-12",10,"20","inc covid hosp","quantile",0.45,48.234729565308
"2022-12-12",10,"20","inc covid hosp","quantile",0.5,50.1382611607718
"2022-12-12",10,"20","inc covid hosp","quantile",0.55,52.1836175051292
"2022-12-12",10,"20","inc covid hosp","quantile",0.6,54.0341399536569
"2022-12-12",10,"20","inc covid hosp","quantile",0.65,56.2375589558345
"2022-12-12",10,"20","inc covid hosp","quantile",0.7,58.4634645558925
"2022-12-12",10,"20","inc covid hosp","quantile",0.75,61.4461368326885
"2022-12-12",10,"20","inc covid hosp","quantile",0.8,64.7253020637412
"2022-12-12",10,"20","inc covid hosp","quantile",0.85,68.7395461500636
"2022-12-12",10,"20","inc covid hosp","quantile",0.9,73.8242850312934
"2022-12-12",10,"20","inc covid hosp","quantile",0.95,81.9125855816696
"2022-12-12",10,"20","inc covid hosp","quantile",0.975,88.1498740856715
"2022-12-12",10,"20","inc covid hosp","quantile",0.99,98.3457600909003
"2022-12-12",11,"20","inc covid hosp","quantile",0.01,20.1119568912365
"2022-12-12",11,"20","inc covid hosp","quantile",0.025,23.3828317000502
"2022-12-12",11,"20","inc covid hosp","quantile",0.05,27.17607063258
"2022-12-12",11,"20","inc covid hosp","quantile",0.1,31.7196806474932
"2022-12-12",11,"20","inc covid hosp","quantile",0.15,34.5782442548025
"2022-12-12",11,"20","inc covid hosp","quantile",0.2,36.8120544420455
